timestamp,landmark_id,u,v,size
1403638147895097088,1,334.969,87.1616,12
1403638147895097088,2,312.228,86.5707,12
1403638147895097088,3,346.427,87.1424,12
1403638147895097088,4,292.448,106.762,12
1403638147895097088,5,284.452,109.398,12
1403638147895097088,6,308.402,110.288,12
1403638147895097088,7,295.738,111.832,12
1403638147895097088,8,276.081,149.836,12
1403638147895097088,9,365.503,173.132,12
1403638147895097088,10,378.736,200.821,12
1403638147895097088,11,428.506,199.595,12
1403638147895097088,12,398.148,202.692,12
1403638147945096960,13,343.099,90.6428,12
1403638147945096960,2,310.383,93.6794,12
1403638147945096960,1,333.423,93.6491,12
1403638147945096960,3,345.316,94.0389,12
1403638147945096960,14,422.666,96.8188,12
1403638147945096960,4,291.2,113.511,12
1403638147945096960,5,283.26,116.24,12
1403638147945096960,6,307.117,116.855,12
1403638147945096960,7,294.525,118.771,12
1403638147945096960,8,275.294,156.568,12
1403638147945096960,15,497.369,168.494,12
1403638147945096960,16,511.692,169.378,12
1403638147945096960,9,364.09,184.871,12
1403638147945096960,11,427.102,214.188,12
1403638147945096960,10,376.794,215.4,12
1403638147945096960,12,397.022,217.089,12
1403638147995097088,17,576.688,66.706,12
1403638147995097088,18,307.858,95.4208,12
1403638147995097088,13,342.615,95.861,12
1403638147995097088,2,310.418,98.8479,12
1403638147995097088,1,333.026,99.3807,12
1403638147995097088,3,344.409,99.419,12
1403638147995097088,14,421.661,102.005,12
1403638147995097088,4,290.806,118.456,12
1403638147995097088,5,282.851,121.558,12
1403638147995097088,6,306.863,122.176,12
1403638147995097088,7,293.891,123.77,12
1403638147995097088,19,443.936,133.127,12
1403638147995097088,8,274.454,161.485,12
1403638147995097088,15,496.751,172.944,12
1403638147995097088,16,511.116,173.599,12
1403638147995097088,20,416.419,178.063,12
1403638147995097088,21,436.648,180.28,12
1403638148045096960,22,684.09,71.7912,12
1403638148045096960,18,308.158,100.906,12
1403638148045096960,23,338.251,101.649,12
1403638148045096960,1,332.727,104.644,12
1403638148045096960,2,309.688,104.23,12
1403638148045096960,3,344.42,104.858,12
1403638148045096960,14,421.492,107.56,12
1403638148045096960,4,290.798,123.68,12
1403638148045096960,5,282.659,126.574,12
1403638148045096960,6,306.372,127.341,12
1403638148045096960,7,293.815,128.892,12
1403638148045096960,19,443.484,138.493,12
1403638148045096960,8,274.22,166.226,12
1403638148045096960,24,287.149,166.984,12
1403638148045096960,15,495.971,178.097,12
1403638148045096960,16,510.317,179.123,12
1403638148045096960,25,266.63,182.591,12
1403638148045096960,20,416.44,183.532,12
1403638148045096960,21,436.339,185.076,12
1403638148045096960,26,326.677,187.841,12
1403638148045096960,27,328.349,188.167,12
1403638148045096960,28,335.464,188.561,12
1403638148045096960,29,339.785,188.553,12
1403638148045096960,30,449.671,188.587,12
1403638148045096960,31,406.387,191.053,12
1403638148045096960,32,391.937,191.115,12
1403638148045096960,33,403.334,191.933,12
1403638148195097088,17,576.833,83.448,12
1403638148195097088,22,685.292,82.9809,12
1403638148195097088,18,310.408,111.897,12
1403638148195097088,34,344.327,112.361,12
1403638148195097088,23,340.578,112.616,12
1403638148195097088,2,312.321,115.284,12
1403638148195097088,1,335.171,115.823,12
1403638148195097088,3,346.551,115.741,12
1403638148195097088,14,423.289,118.886,12
1403638148195097088,35,468.665,117.281,12
1403638148195097088,4,293.319,134.375,12
1403638148195097088,5,285.115,137.179,12
1403638148195097088,6,308.739,137.774,12
1403638148195097088,7,296.127,139.481,12
1403638148195097088,8,276.768,176.187,12
1403638148195097088,24,289.528,177.114,12
1403638148195097088,15,497.175,188.586,12
1403638148195097088,16,512.182,189.853,12
1403638148195097088,25,268.724,192.559,12
1403638148195097088,20,417.832,193.77,12
1403638148195097088,36,191.247,193.154,12
1403638148195097088,21,437.857,195.805,12
1403638148195097088,26,327.917,198.158,12
1403638148195097088,27,330.46,198.495,12
1403638148195097088,28,337.338,198.699,12
1403638148195097088,29,341.63,198.819,12
1403638148195097088,37,227.879,198.164,12
1403638148195097088,30,451.227,199.394,12
1403638148195097088,32,393.735,201.527,12
1403638148195097088,31,408.373,201.798,12
1403638148195097088,33,405.08,202.663,12
1403638148195097088,38,274.694,207.59,12
1403638148195097088,39,281.522,208.573,12
1403638148195097088,40,271.859,209.589,12
1403638148195097088,41,281.368,210.866,12
1403638148195097088,42,255.29,211.455,12
1403638148195097088,43,248.852,214.082,12
1403638148195097088,44,339.476,215.058,12
1403638148195097088,45,174.227,216.175,12
1403638148195097088,46,325.739,220.386,12
1403638148195097088,47,398.694,219.675,12
1403638148195097088,48,322.793,220.265,12
1403638148195097088,49,330.397,220.443,12
1403638148195097088,50,364.591,224.596,12
1403638148195097088,51,403.081,224.173,12
1403638148195097088,52,241.123,224.307,12
1403638148195097088,53,305.804,225.685,12
1403638148195097088,54,357.103,226.248,12
1403638148195097088,55,364.998,225.502,12
1403638148195097088,56,420.236,226.053,12
1403638148195097088,57,158.285,225.652,12
1403638148195097088,58,350.587,227.158,12
1403638148195097088,59,373.46,227.987,12
1403638148195097088,60,201.811,227.107,12
1403638148195097088,61,418.842,229.919,12
1403638148195097088,62,341.807,230.833,12
1403638148195097088,63,196.62,231.224,12
1403638148195097088,64,259.289,231.812,12
1403638148195097088,65,671.94,229.607,12
1403638148195097088,66,279.865,232.969,12
